topic,ele_code,weight_freq,name,long_name
11,162Y,5.592,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
11,7980,8.363,ECR-EHR Core Research,ECR-EHR Core Research
12,7275,0.005,Cross-EF Activities,Cross-EF Activities
12,7699,0.005,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
12,062Y,0.006,GCR-Growing Convergence Research,GCR-Growing Convergence Research
12,7259,0.006,AISL,Advencing Informal STEM Learning
12,7645,0.006,Discovery Research K-12,Discovery Research K-12
12,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
12,107Y,0.008,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
12,125Y,0.009,Science of Science,Science of Science
12,055Y,0.009,CISE Education and Workforce,CISE Education and Workforce
12,1998,0.009,IUSE,Imploving Undergraduate STEM Education (IUSE)
12,1253,0.01,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
12,8624,0.011,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
12,104Y,0.014,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
12,1536,0.017,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
12,9150,0.018,EPSCoR Co-Funding,EPSCoR Co-Funding
12,7412,0.021,Advanced Tech Education Prog,Advanced Tech Education Prog
12,154Y,0.023,GVF - Global Venture Fund,GVF - Global Venture Fund
12,7172,0.042,Graduate Research Fellowship,Graduate Research Fellowship
12,162Y,0.286,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
12,7261,0.407,Project & Program Evaluation,Project & Program Evaluation
12,7980,0.555,ECR-EHR Core Research,ECR-EHR Core Research
12,1997,1.332,NRT,NSF Research Traineeship (NRT)
12,1668,2.839,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
12,8060,7.545,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
13,062Y,0.003,GCR-Growing Convergence Research,GCR-Growing Convergence Research
13,7259,0.003,AISL,Advencing Informal STEM Learning
13,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
13,1253,0.007,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
13,7699,0.008,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
