document,topic,gamma,amount,ele_code
2125798,2,0.024523161,3.00E+06,1997
2000483,2,0.024464832,939673,7980
1841792,2,0.024137931,246863,7980
1940221,2,0.024096386,83755,7980
2125921,2,0.023952096,1969598,"1997, 7959"
2011117,2,0.023904382,415999,8060
2114911,2,0.023728814,299557,8060
2015554,2,0.023648649,399999,8060
2043095,2,0.02359882,1352250,1668
1922687,2,0.023316062,2998770,"1997, 7261"
2117073,2,0.023178808,492892,8060
1934285,2,0.023076923,498907,8060
2029632,2,0.022988506,4.00E+05,8060
1753900,2,0.022875817,4164665,1668
1828910,2,0.022727273,3057335,"1997, 7261"
2041960,2,0.02266289,316000,8060
1821753,2,0.022624434,299935,8060
1753983,2,0.022624434,3080555,1668
2125362,2,0.022613065,1994676,1997
1946607,2,0.022580645,1634366,1668
2048018,2,0.02247191,245220,7980
2039612,2,0.022435897,299923,8060
1919004,2,0.022321429,541524,8060
1822567,2,0.022321429,420377,1668
2042996,2,0.022304833,954746,1668
1921485,2,0.022292994,2445818,1668
2042882,2,0.022160665,1348615,1668
1922270,2,0.022151899,849138,1668
2039616,2,0.022082019,335982,8060
2021585,2,0.022082019,2400000,1997
1937612,2,0.021978022,998257,7980
2028426,2,0.021604938,399203,"055Y, 1998, 8060"
1922180,2,0.021126761,2764115,1668
1921813,2,0.021008403,2383240,1668
1922004,2,0.020997375,3.00E+06,"1997, 7261"
1926736,2,0.020895522,393394,"7980, 8624"
1934782,2,0.020833333,316000,1668
1821766,2,0.020833333,294280,8060
1914771,2,0.020746888,1683319,1668
2104532,2,0.020618557,399986,8060
2021713,2,0.020527859,2998114,"054Y, 104Y, 1997"
1901733,2,0.020408163,43831,8060
1846321,2,0.020114943,379809,7980
1921576,2,0.019933555,2732877,1668
1946626,2,0.01984127,922706,1668
1750038,2,0.019762846,2170960,1668
1926789,2,0.019762846,999834,"7980, 8624"
2125684,2,0.01965602,1999736,1997
1921726,2,0.019480519,4191301,1668
1828820,2,0.019444444,2997865,"1997, 7261"
1956193,2,0.019417476,NA,NA
1949922,2,0.019305019,318639,7980
2021540,2,0.019230769,3.00E+06,1997
2038483,2,0.018987342,297719,8060
2114680,2,0.018927445,298214,8060
2021628,2,0.018918919,3.00E+06,1997
2028397,2,0.018656716,397826,8060
2043084,2,0.018518519,1518705,1668
2039637,2,0.018461538,299987,8060
1828010,2,0.018276762,2999997,"062Y, 1997, 7259, 7261"
2114808,2,0.018072289,299987,8060
2113981,2,0.017857143,399974,1668
1723734,2,0.017777778,499287,1668
2125748,2,0.017632242,2984140,1997
2017950,2,0.01754386,200562,7980
1922642,2,0.017291066,3.00E+06,"1997, 7261"
1844136,2,0.017241379,250685,8060
1854494,2,0.017167382,32940,8060
1760993,2,0.017123288,1465787,7980
2025686,2,0.017045455,NA,NA
1951688,2,0.017045455,533658,8060
2114974,2,0.016891892,299934,8060
2022055,2,0.016216216,2999859,"054Y, 1997"
1947295,2,0.015923567,444665,8060
1954259,2,0.015873016,499145,8060
1819521,2,0.015748031,NA,NA
2114824,2,0.015625,312568,"054y, 8060"
1920529,2,0.01532567,673249,7980
2113955,2,0.015267176,299999,8060
1821744,2,0.015228426,3.00E+05,8060
2125913,2,0.015151515,3.00E+06,1997
2100355,2,0.014792899,487909,7980
1922758,2,0.014450867,3.00E+06,"1997, 7261"
2000847,2,0.014245014,690027,7980
2114200,2,0.014234875,399674,8060
1912753,2,0.014218009,481360,8060
1754085,2,0.014035088,2209592,1668
2054920,2,0.013888889,NA,NA
2039445,2,0.01384083,3.00E+05,8060
2114892,2,0.013793103,299993,8060
1920550,2,0.013745704,1421955,7980
1820686,2,0.01369863,498425,1668
2021874,2,0.013667426,2999878,1997
2025349,2,0.013377926,232866,162Y
2039288,2,0.013114754,299990,8060
2113839,2,0.013071895,215000,8060
2105801,2,0.013071895,391012,8060
1922202,2,0.012711864,2324333,"1668, 8060"
1754014,2,0.012711864,3133673,1668
1946493,2,0.012698413,837422,1668
1761158,2,0.012448133,477224,7980
1907537,2,0.012295082,320446,8060
2113803,2,0.012269939,299995,8060
1922694,2,0.012254902,2998456,"1997, 7261"
2114952,2,0.012232416,3.00E+05,8060
1922591,2,0.012106538,1560000,1997
1820531,2,0.012,5.00E+05,1668
1824258,2,0.011764706,299947,8060
2115028,2,0.011583012,297712,8060
1761251,2,0.011235955,169057,7980
2125510,2,0.011235955,1999902,1997
2125906,2,0.011235955,2995850,1997
1754092,2,0.011111111,4099434,1668
1820573,2,0.010869565,499853,1668
2055062,2,0.010830325,1109100,7980
2041970,2,0.010600707,299945,8060
1946553,2,0.010600707,1756591,1668
1922649,2,0.01055409,2999967,"1997, 7261"
2021871,2,0.010526316,2999289,1997
2114981,2,0.010238908,299481,8060
2024584,2,0.010204082,193853,162Y
2025257,2,0.009677419,228379,162Y
2025162,2,0.009646302,348866,162Y
1821794,2,0.009569378,299998,8060
1946599,2,0.009404389,1650474,1668
1820640,2,0.008928571,497000,1668
2000388,2,0.008849558,1328108,"7645, 7980"
2032292,2,0.00872093,4.00E+05,
2000750,2,0.00867052,512509,7980
1842678,2,0.008474576,20000,1668
1915780,2,0.008196721,522175,8060
1931800,2,0.008163265,499595,8060
1912474,2,0.008152174,1367185,7980
2021693,2,0.007936508,2748866,1997
1922072,2,0.007782101,2574236,1668
2122416,2,0.00754717,499971,8060
1820685,2,0.007490637,499964,1668
2022036,2,0.007317073,2998915,1997
2126059,2,0.007042254,325009,162Y
2039610,2,0.006802721,3.00E+05,8060
2125924,2,0.006711409,3.00E+06,"1253, 1997"
1760884,2,0.006578947,499996,7980
2114936,2,0.006389776,NA,NA
2054968,2,0.006389776,113025,8060
2042700,2,0.006329114,2200200,1668
2114660,2,0.006309148,304761,162Y
2125940,2,0.00617284,335948,162Y
1946650,2,0.006006006,976616,1668
1835309,2,0.005586592,999375,"7980, 8624"
2125606,2,0.005586592,2.00E+06,1997
1946537,2,0.005555556,1457244,1668
1828149,2,0.005509642,2999967,"1997, 7261"
1946557,2,0.005479452,1062699,1668
1919326,2,0.005405405,694964,7980
1829004,3,0.240223464,3069765,"1997, 7261"
2042700,3,0.205696203,2200200,1668
1828010,3,0.180156658,2999997,"062Y, 1997, 7259, 7261"
2028426,3,0.166666667,399203,"055Y, 1998, 8060"
1922169,3,0.155893536,2391193,1668
2021585,3,0.138801262,2400000,1997
1854494,3,0.137339056,32940,8060
2113839,3,0.104575163,215000,8060
2114200,3,0.103202847,399674,8060
2039605,3,0.095709571,299566,8060
1753983,3,0.090497738,3080555,1668
1922591,3,0.08716707,1560000,1997
2029632,3,0.086206897,4.00E+05,8060
1907537,3,0.086065574,320446,8060
2105555,3,0.086021505,332184,1997
1931800,3,0.085714286,499595,8060
1946493,3,0.082539683,837422,1668
1753900,3,0.081699346,4164665,1668
1954259,3,0.079365079,499145,8060
1922291,3,0.078358209,2026410,1668
2125644,3,0.077956989,3.00E+06,1997
2125528,3,0.074285714,2999967,1997
1821780,3,0.07421875,308000,"1668, 8060"
2039354,3,0.073260073,313881,8060
1922180,3,0.070422535,2764115,1668
2125906,3,0.070224719,2995850,1997
