document,topic,gamma
1901733,4,0.013605442
1856346,4,0.01369863
1937612,4,0.013736264
1841792,4,0.013793103
1828942,4,0.013927577
2112689,4,0.013937282
1829004,4,0.01396648
2125703,4,0.01396648
1946553,4,0.014134276
2031066,4,0.014336918
2043324,4,0.014336918
1954967,4,0.014409222
2000750,4,0.014450867
1828869,4,0.014492754
2113955,4,0.015267176
1856384,4,0.01529052
2105726,4,0.01529052
1760884,4,0.015350877
1922072,4,0.015564202
2021744,4,0.015765766
2114660,4,0.015772871
1753681,4,0.015772871
2021585,4,0.015772871
2032122,4,0.015822785
1922649,4,0.015831135
1828466,4,0.015873016
2114789,4,0.015923567
1922658,4,0.015923567
1927550,4,0.016129032
1828993,4,0.016129032
2022055,4,0.016216216
2039288,4,0.016393443
2042882,4,0.016620499
2125868,4,0.016786571
1922591,4,0.016949153
1951688,4,0.017045455
1855978,4,0.017283951
2039445,4,0.017301038
1922180,4,0.017605634
2105555,4,0.017921147
2125921,4,0.017964072
1946650,4,0.018018018
2055062,4,0.018050542
1937251,4,0.018181818
1842074,4,0.018382353
1761249,4,0.018404908
2125764,4,0.018575851
2042416,4,0.018691589
1946442,4,0.01875
2038483,4,0.018987342
1821560,4,0.019138756
2114936,4,0.019169329
2024020,4,0.019169329
2100234,4,0.019169329
1954946,4,0.019230769
2039408,4,0.019230769
2115028,4,0.019305019
2025257,4,0.019354839
2115025,4,0.019354839
2022036,4,0.019512195
2125510,4,0.019662921
2125906,4,0.019662921
1922579,4,0.019672131
2000847,4,0.01994302
1922758,4,0.020231214
2114974,4,0.02027027
2037360,4,0.020325203
2039610,4,0.020408163
2104532,4,0.020618557
2114892,4,0.020689655
1922560,4,0.020833333
1828571,4,0.021021021
1820666,4,0.021097046
1820609,4,0.021186441
1760894,4,0.021276596
2105254,4,0.021406728
1854494,4,0.021459227
1922761,4,0.021563342
2125940,4,0.021604938
1954776,4,0.02166065
2125858,4,0.022038567
1922270,4,0.022151899
2042700,4,0.022151899
1828820,4,0.022222222
1937490,4,0.022556391
1903423,4,0.022900763
2043250,4,0.02295082
2029632,4,0.022988506
2117073,4,0.023178808
2114824,4,0.0234375
1821780,4,0.0234375
1807086,4,0.023460411
2000388,4,0.02359882
2039583,4,0.024169184
2000599,4,0.024316109
1931800,4,0.024489796
1806698,4,0.024657534
2041970,4,0.024734982
1914771,4,0.024896266
2000865,4,0.024911032
2100155,4,0.024922118
1946537,4,0.025
2043302,4,0.02507837
1842287,4,0.025089606
1931724,4,0.025210084
1954836,4,0.025396825
2041960,4,0.025495751
2125528,4,0.025714286
1828288,4,0.025773196
2043084,4,0.025925926
1914613,4,0.025974026
2028397,4,0.026119403
2125758,4,0.026128266
1821822,4,0.026315789
1922169,4,0.02661597
1828902,4,0.026706231
2025349,4,0.026755853
2125924,4,0.026845638
1922694,4,0.026960784
1900210,4,0.027272727
1760993,4,0.02739726
1946557,4,0.02739726
2125733,4,0.027439024
2000483,4,0.027522936
